1,BDBCBDCBCBCBCBCBCABACBCBCBCBCBCDBCBDBDBCBABCDBCBCBCABCDCBCBCBCBDBCBCBCBCDCBCBCBDBCACABACB
2,BCBCBCDCBABABCBCBCDBDCBCBCBCBCBABCBCBCDCBCBABCDBCABCABCBCBCABCBCBCBACBCACACBC
3,BABDBCBACBDCBCBCBCBDCBDBCBCBCBCBCDBCDABCBCBCBABCABABCBCBCACABCBCABCBCBACB
4,BCBCBDCBCBABCBCBABCBCBCBCBDCBCBDBACBCBCBDBCBCBCBACDBCBCBCBDCDBCBCABCBCDBACBCACACBCBDC
5,BCDBDBCBCBCBCBCBCBDCBCBCBADBCABCBCBCBABDBCBCBCBDABCBCBCBCBABCBCBAB
6,BACABCBACBCBDCBCBACBCBCBCDCBCBDBCBCBCBDCBCBDCABABABDBCBCBCBABCBCBCDCBCBDCBCBCBDCDBACAB
7,CABABCBCBCDBCBDCBCABCBADBCBACBCDBABCBCBCACDBABCBCBCBCACBCDBCBCBCBCDCABCBACBCBCACB
8,BCBCBDBDBCBCBCACBCACBCBCBADBCBCBDBDCBCBCBCBCABABCBCBCBCBDBACBCBCBCBC
9,CBCBCBCBADABCDCBABCBCBCBABCABCBDBCBCBCBCBCBABCBCBABCBCBCBABCBCBCBCBABCAC
1,
